"You have not set a default shipping address.","You have not set a default shipping address."
"You have not set a default billing address.","You have not set a default billing address."
Home,Home
"Go to Home Page","Go to Home Page"
Affiliate,Affiliate
"Return to Affiliate","Return to Affiliate"
Campaign,Campaign
"Lead Details","Lead Details"
"Create New Affiliate Account","Create New Affiliate Account"
Transaction,Transaction
Withdraw,Withdraw
"Affiliate Login","Affiliate Login"
"Manage Account Affiliate","Manage Account Affiliate"
"Add New Account","Add New Account"
"Save Account","Save Account"
"Save and Continue Edit","Save and Continue Edit"
"Delete Account","Delete Account"
"Edit Account '%1'","Edit Account '%1'"
"New Account Affiliate","New Account Affiliate"
General,General
"Group Account","Group Account"
"First Name","First Name"
"Last Name","Last Name"
"Customer Account","Customer Account"
"Customer Acount","Customer Acount"
"Email Address","Email Address"
"EMail Address","EMail Address"
"Tracking Code","Tracking Code"
"Choose Customer","Choose Customer"
"AutoComplete Customer Email that you want choose.","AutoComplete Customer Email that you want choose."
"Refering Website","Refering Website"
"Account Affiliate Information","Account Affiliate Information"
"Payment Details","Payment Details"
"Commission (%)","Commission (%)"
Commission,Commission
"Paypal Email","Paypal Email"
"Skrill Email","Skrill Email"
"skrill Email","skrill Email"
Balance,Balance
"Commission Paid","Commission Paid"
Id,Id
Order,Order
"Customer Email","Customer Email"
"Order Total","Order Total"
"Commission Total","Commission Total"
"Order Status","Order Status"
"Transaction Status","Transaction Status"
"Withdraw Amount","Withdraw Amount"
"Date Request","Date Request"
"Payment Method","Payment Method"
Status,Status
"Affiliate Detail","Affiliate Detail"
"History Transaction","History Transaction"
"History Withdrawal","History Withdrawal"
"Manage Banner Affiliate","Manage Banner Affiliate"
"Add New Banner","Add New Banner"
"Save Banner","Save Banner"
"Delete Banner","Delete Banner"
"New Banner Affiliate","New Banner Affiliate"
Title,Title
"Banner Type","Banner Type"
"Source File","Source File"
"Width (px)","Width (px)"
"Height (px)","Height (px)"
"Rel Nofollow","Rel Nofollow"
Link,Link
"Commission Per Click","Commission Per Click"
"Commission Per Unique Click","Commission Per Unique Click"
"Banner Affiliate Information","Banner Affiliate Information"
"Banner Detail","Banner Detail"
"Banner Report","Banner Report"
"Manage Campaign Affiliate","Manage Campaign Affiliate"
"Add New Campaign","Add New Campaign"
"Save Campaign","Save Campaign"
"Delete Campaign","Delete Campaign"
"Edit Campaign '%1'","Edit Campaign '%1'"
"New Campaign Affiliate","New Campaign Affiliate"
"Pay Per Sale","Pay Per Sale"
"Add Commission","Add Commission"
Conditions,Conditions
"Apply the rule only if the following conditions are met (leave blank for all products).","Apply the rule only if the following conditions are met (leave blank for all products)."
Name,Name
Description,Description
"Affiliate Groups","Affiliate Groups"
Display,Display
"Active From Date","Active From Date"
"Active To Date","Active To Date"
